,Weeks,Training_Error_Rate,Testing_Error_Rate,Training_Size,Testing_Size,Feature_Importance,Random_Seed
0,W1_2,57,172,95296,97665,"[4.95864602e-02 3.53147988e-02 2.23632729e-01 8.65162248e-02
 7.17571177e-02 5.03173036e-02 3.22131978e-02 7.25174577e-02
 5.71765385e-02 1.31377677e-02 1.32980241e-02 2.23369282e-03
 2.23394080e-01 1.03204389e-02 4.51394346e-03 7.28367259e-03
 3.86457159e-02 8.14083631e-03 4.75581480e-10]",1234
1,W2_3,50,123,97665,99802,"[5.39460025e-02 4.01498737e-02 2.64259954e-01 1.01674443e-01
 7.39668801e-02 4.04354760e-02 5.25856962e-02 8.50656878e-02
 6.25469675e-02 1.79969039e-02 1.11822974e-02 2.85509462e-03
 1.35344953e-01 7.91765356e-03 1.63357891e-03 1.07386368e-02
 3.15746655e-02 6.12523352e-03 2.06176743e-09]",1234
2,W3_4,69,123,99802,102616,"[5.66958300e-02 4.40237732e-02 2.03607989e-01 9.04336965e-02
 7.62460698e-02 4.43997909e-02 2.64397376e-02 6.15277185e-02
 7.29541817e-02 3.02063403e-02 6.50908600e-03 7.21715349e-03
 2.25227489e-01 9.19580911e-03 4.92498078e-03 8.47375881e-03
 2.79027837e-02 4.01380993e-03 1.49361582e-09]",1234
3,W4_5,62,123,102616,104596,"[6.74155985e-02 4.38163118e-02 2.34738154e-01 9.52311689e-02
 7.64412165e-02 4.87280649e-02 4.27339261e-02 9.75841699e-02
 6.53770417e-02 1.94019401e-02 1.16315221e-02 1.83555182e-03
 1.51617530e-01 7.25330954e-03 1.58420666e-03 1.08210381e-02
 1.91732735e-02 4.61595157e-03 2.45909962e-08]",1234
4,W5_6,58,160,104596,106254,"[6.07590255e-02 4.14692444e-02 1.99354840e-01 9.11045749e-02
 8.04749985e-02 5.60683952e-02 4.35023914e-02 8.17069723e-02
 5.97118329e-02 1.66538731e-02 8.90213826e-03 1.56363132e-03
 2.22329782e-01 6.08964669e-03 1.02334271e-03 1.14889007e-02
 1.39309431e-02 3.86546105e-03 6.16439892e-09]",1234
5,W6_7,41,121,106254,112397,"[5.47745029e-02 4.84367909e-02 1.97752587e-01 9.67250847e-02
 6.88742725e-02 4.53104939e-02 4.93117723e-02 9.26582606e-02
 5.80624920e-02 1.60795061e-02 1.52325328e-02 3.06052164e-04
 2.07157824e-01 4.79930269e-03 5.66422411e-05 1.86339707e-02
 2.08092071e-02 5.01870208e-03 3.24135379e-09]",1234
6,W7_8,36,90,112397,112790,"[5.45771379e-02 4.57650842e-02 2.39752255e-01 7.74656150e-02
 7.82749778e-02 3.78921702e-02 5.18462028e-02 9.96648839e-02
 6.02091430e-02 6.18903292e-03 4.34585573e-03 4.69142371e-03
 1.87910417e-01 6.17945075e-03 2.35495293e-03 1.14838590e-02
 2.23535138e-02 9.04402471e-03 6.82597648e-12]",1234
7,W8_9,48,120,112790,112953,"[0.04594599 0.04074244 0.2034139  0.06333983 0.06519538 0.03599108
 0.04788628 0.07862843 0.05682022 0.01208207 0.01127033 0.00177315
 0.27333043 0.00706864 0.00113653 0.02125686 0.0291218  0.00432647
 0.00067017]",1234
8,W9_10,48,119,112953,114059,"[0.04000891 0.03158431 0.21711682 0.08430233 0.07032    0.02893073
 0.04990315 0.07834914 0.04712243 0.02062992 0.00597805 0.00185251
 0.25313733 0.01224578 0.00185276 0.02197843 0.02348019 0.00900023
 0.00220699]",1234
9,W10_11,46,137,114059,114420,"[4.39358635e-02 3.89781787e-02 2.38830437e-01 7.58608970e-02
 7.59847425e-02 4.36963849e-02 5.01660622e-02 7.80389728e-02
 5.44970589e-02 1.90426991e-02 8.14024130e-03 3.76755314e-04
 2.23162534e-01 8.12430191e-03 2.79778068e-04 1.69399542e-02
 1.05857510e-02 1.31984508e-02 1.60937290e-04]",1234
10,W11_12,48,74,114420,113828,"[6.11221824e-02 5.99426947e-02 1.35315306e-01 9.40893559e-02
 1.17771013e-01 5.84294459e-02 3.88879258e-02 8.68425031e-02
 6.83306853e-02 1.19577609e-02 8.91212734e-03 4.12656399e-03
 1.71388504e-01 1.36945117e-02 2.90680104e-03 2.84916856e-02
 3.05058397e-02 7.28479896e-03 2.94141657e-07]",1234
11,W12_13,30,80,113828,114371,"[4.78001007e-02 3.88965264e-02 1.93281466e-01 7.88774627e-02
 6.53905546e-02 3.51716529e-02 3.83399571e-02 7.42528304e-02
 4.53508221e-02 1.41449594e-02 5.59367720e-03 1.22504038e-04
 3.11870772e-01 6.60467882e-03 3.04144437e-04 1.46343653e-02
 2.38131986e-02 5.55032653e-03 0.00000000e+00]",1234
12,W13_14,32,93,114371,113900,"[0.05869771 0.03479644 0.20070803 0.10093373 0.06578023 0.03860913
 0.04724579 0.09218417 0.06002934 0.00823898 0.01111746 0.00338648
 0.24192667 0.00671506 0.00403402 0.00452667 0.01679639 0.00350539
 0.00076829]",1234
13,W14_15,20,56,113900,115008,"[5.87992064e-02 3.47063666e-02 1.89779355e-01 1.14495197e-01
 9.88119029e-02 4.58201108e-02 5.99103552e-02 8.37688062e-02
 6.56010124e-02 3.05992825e-02 8.07002571e-03 5.39250383e-03
 1.81956774e-01 8.01448868e-03 3.61670025e-03 2.43173901e-03
 7.28739170e-03 9.38721307e-04 6.06165313e-08]",1234
14,W15_16,24,59,115008,123638,"[1.10292973e-01 2.76489974e-02 2.02526784e-01 1.24312046e-01
 1.00541877e-01 3.44434133e-02 2.68017001e-02 9.36901221e-02
 4.94953089e-02 4.02813304e-03 3.91897801e-03 2.19983327e-03
 1.91455387e-01 9.10694566e-03 1.38872424e-05 5.12364954e-05
 1.91947917e-02 2.86893013e-05 2.48895699e-04]",1234
15,W16_17,38,62,123638,129923,"[0.08910668 0.04142754 0.17826993 0.11429653 0.08243504 0.03757452
 0.0193542  0.12024626 0.07092133 0.00447668 0.00503268 0.00176894
 0.19196472 0.00682678 0.00444372 0.00081951 0.02881299 0.00222195
 0.        ]",1234
16,W17_18,24,49,129923,131041,"[0.04807293 0.02992612 0.18456466 0.07830434 0.08389112 0.03166914
 0.02432573 0.0798899  0.05770574 0.00276366 0.00539538 0.00211285
 0.31293438 0.00668386 0.0057899  0.01719081 0.0260137  0.00276577
 0.        ]",1234
17,W18_19,25,63,131041,131180,"[3.58438522e-02 3.89923872e-02 2.19545867e-01 7.05841291e-02
 7.11798444e-02 3.51118930e-02 2.75319683e-02 7.84387951e-02
 3.87695302e-02 6.44257067e-04 2.27438768e-02 5.31963741e-03
 3.15975856e-01 5.25063940e-03 4.87383983e-03 0.00000000e+00
 2.86789051e-02 5.14721455e-04 3.25091676e-10]",1234
18,W19_20,32,55,131180,130536,"[5.66008668e-02 6.07335989e-02 2.12182793e-01 7.94382767e-02
 7.86563351e-02 4.10694354e-02 3.48713470e-02 1.11401990e-01
 6.51856751e-02 4.29098363e-03 3.99854092e-03 4.88317266e-03
 1.87490629e-01 8.92373666e-03 5.39833740e-03 5.02105726e-04
 4.18595964e-02 2.51253612e-03 4.42289940e-08]",1234
19,W20_21,13,57,130536,135950,"[0.04690511 0.04275872 0.21459455 0.10559307 0.08692407 0.03898709
 0.04496434 0.0860121  0.05010981 0.03913819 0.00730868 0.00660692
 0.15239387 0.00886226 0.0032518  0.0016536  0.03984704 0.02408877
 0.        ]",1234
20,W21_22,32,66,135950,136179,"[6.04513883e-02 5.12593016e-02 1.79627491e-01 1.19801085e-01
 9.10435426e-02 4.48308186e-02 3.15093167e-02 1.32880630e-01
 7.96068563e-02 5.26657455e-03 4.31517153e-03 2.24895907e-03
 1.48895181e-01 6.78362261e-03 3.50919501e-03 7.64385506e-04
 3.46027556e-02 2.60372344e-03 1.75757923e-10]",1234
21,W22_23,21,61,136179,137793,"[6.75500029e-02 7.36367858e-02 1.66870664e-01 1.26971793e-01
 8.51639623e-02 5.82011180e-02 1.45729900e-02 1.16998291e-01
 5.61237324e-02 7.42388415e-04 7.14820403e-03 7.33066481e-04
 1.79522060e-01 4.57382154e-03 4.87924543e-06 6.60840530e-03
 3.43455089e-02 2.31106786e-04 1.21989769e-06]",1234
22,W23_24,40,77,137793,142204,"[9.47846280e-02 4.07333522e-02 1.18246265e-01 1.06113933e-01
 1.13353682e-01 3.84132131e-02 8.38998448e-03 1.38703388e-01
 8.10970902e-02 3.63515189e-05 8.35591847e-03 2.41338974e-03
 2.08970108e-01 5.31558040e-03 2.73642232e-03 6.61832113e-03
 2.57183667e-02 3.57351856e-10 4.68776383e-09]",1234
23,W24_25,44,75,142204,143125,"[7.13841910e-02 2.91029446e-02 1.51555654e-01 1.01246420e-01
 8.26899092e-02 3.64659385e-02 2.32445597e-02 1.35690890e-01
 7.15667261e-02 6.91199478e-03 8.05080672e-03 3.78428104e-04
 2.37498248e-01 8.10321438e-03 5.80156924e-04 8.36330752e-03
 1.45333445e-02 1.26332631e-02 2.07505285e-09]",1234
24,W25_26,35,56,143125,142901,"[5.07065787e-02 6.13861475e-02 1.96207506e-01 9.81942762e-02
 8.30027047e-02 4.14395485e-02 2.56007747e-02 9.11992154e-02
 5.42113578e-02 2.68875085e-02 2.76822516e-03 2.43473436e-03
 2.27176988e-01 5.52907233e-03 9.92442940e-04 9.58545272e-03
 1.46008299e-02 8.07663597e-03 1.15892598e-10]",1234
25,W26_27,21,64,142901,142714,"[0.050353   0.04877233 0.19340681 0.10329961 0.06162833 0.04309138
 0.04040178 0.10685978 0.04342371 0.00673219 0.0017108  0.00757389
 0.24948271 0.00883698 0.00527109 0.00253536 0.02614315 0.0004771
 0.        ]",1234
26,W27_28,20,39,142714,142705,"[4.03738454e-02 5.04886739e-02 1.89542172e-01 1.05410307e-01
 6.40562755e-02 3.87947615e-02 6.17608357e-02 7.36784087e-02
 4.05222468e-02 3.85708155e-03 2.93802280e-03 4.64085680e-03
 2.89585842e-01 5.42849719e-03 3.61024052e-03 6.94936301e-03
 1.75471789e-02 8.15390347e-04 5.83119119e-10]",1234
27,W28_29,14,38,142705,142674,"[0.04067007 0.04619916 0.16016611 0.07738275 0.04929517 0.04247764
 0.04691365 0.06240703 0.03746035 0.00706348 0.00754322 0.00337039
 0.35036804 0.0039983  0.00140459 0.00972536 0.04046899 0.01308569
 0.        ]",1234
28,W29_30,19,48,142674,148914,"[0.05707634 0.04504195 0.16014218 0.0835826  0.0596436  0.03445015
 0.01314244 0.09697624 0.06816321 0.00761212 0.00452514 0.00952672
 0.28931136 0.00927371 0.01198773 0.         0.04462557 0.00491894
 0.        ]",1234
29,W30_31,22,69,148914,148873,"[6.71693720e-02 4.63470427e-02 1.33529312e-01 8.35252303e-02
 1.06531309e-01 3.78460197e-02 2.62092201e-02 1.12530267e-01
 6.92064998e-02 2.25812021e-03 1.20546109e-03 3.85825629e-03
 2.46266452e-01 7.17722191e-03 2.21419150e-03 1.16224856e-03
 5.29637743e-02 5.41483427e-10 1.56076244e-09]",1234
30,W31_32,36,67,148873,152571,"[7.76285920e-02 3.88142057e-02 1.25203329e-01 7.27105175e-02
 8.37406828e-02 3.45361776e-02 4.29515791e-02 1.13793639e-01
 6.40711926e-02 8.26650430e-03 4.03315613e-03 3.11101409e-03
 2.91922449e-01 1.13894864e-02 4.59708076e-03 7.06841639e-04
 2.19587523e-02 5.64796427e-04 2.77042029e-09]",1234
31,W32_33,40,65,152571,153879,"[8.46255351e-02 3.97087972e-02 1.78326191e-01 8.56282536e-02
 8.76416564e-02 2.98495480e-02 1.25759856e-02 9.97059206e-02
 6.40297872e-02 1.22378710e-02 3.68030607e-04 7.97438305e-05
 2.51776304e-01 1.50969120e-02 1.66852832e-04 1.84579236e-03
 3.16774603e-02 4.65935795e-03 0.00000000e+00]",1234
32,W33_34,34,57,153879,153862,"[5.16168565e-02 5.01856414e-02 2.27517392e-01 8.87936407e-02
 7.35247020e-02 4.15768876e-02 3.20418743e-02 8.74499905e-02
 5.80318413e-02 8.52517664e-03 1.59146719e-03 6.61276828e-03
 2.42087708e-01 6.53928109e-03 2.68243535e-03 2.18982535e-04
 2.00102597e-02 9.93095020e-04 0.00000000e+00]",1234
33,W34_35,31,28,153862,158074,"[5.69198397e-02 4.19131130e-02 1.81958052e-01 9.34062850e-02
 6.73147675e-02 4.44251019e-02 3.30200212e-02 1.07090659e-01
 5.99573807e-02 2.82399032e-02 9.81320140e-04 8.62044876e-03
 2.24587387e-01 9.28537293e-03 3.59051768e-03 2.85176979e-03
 3.15293584e-02 4.30870068e-03 1.54853984e-09]",1234
34,W35_36,20,51,158074,160210,"[5.67927831e-02 3.56973417e-02 1.98599672e-01 7.24501706e-02
 4.57303484e-02 3.56208580e-02 1.19327283e-02 5.85588044e-02
 5.73947350e-02 3.08181414e-02 1.07539268e-03 6.77862364e-04
 3.63239014e-01 8.23714300e-03 3.23162906e-04 4.14801124e-09
 1.87299983e-02 4.12183979e-03 0.00000000e+00]",1234
35,W36_37,11,24,160210,161498,"[2.62116213e-02 4.99102746e-02 1.44564192e-01 7.92813958e-02
 6.30152422e-02 4.68746410e-02 1.81865502e-02 8.69217237e-02
 5.62737168e-02 4.30325766e-02 4.80119551e-03 5.95615640e-08
 3.57798190e-01 2.80306935e-03 1.74654186e-08 1.32000216e-03
 1.25313304e-02 6.47420213e-03 0.00000000e+00]",1234
36,W37_38,13,45,161498,163161,"[2.73675151e-02 3.91004272e-02 2.05449637e-01 5.07122231e-02
 5.40085977e-02 2.81288353e-02 2.22604196e-02 4.10587282e-02
 3.01466218e-02 1.72219951e-02 3.24630670e-03 1.01322837e-06
 4.52493820e-01 7.32633688e-03 1.38634280e-05 0.00000000e+00
 2.04537594e-02 1.00990096e-03 0.00000000e+00]",1234
37,W38_39,24,61,163161,163484,"[3.49917073e-02 2.72405106e-02 1.46388723e-01 6.47418607e-02
 6.57729525e-02 3.24065056e-02 3.06318033e-02 7.57852999e-02
 4.39711236e-02 2.13237596e-02 8.28126827e-03 1.63936517e-06
 3.83695426e-01 8.64327067e-03 2.84357238e-08 5.59332909e-03
 3.90026990e-02 1.15280726e-02 2.07238344e-08]",1234
38,W39_40,46,68,163484,167806,"[7.21012268e-02 2.95865320e-02 1.49593684e-01 7.64426120e-02
 6.48170348e-02 2.25107342e-02 1.30276259e-02 1.26395927e-01
 5.88501862e-02 5.03079510e-03 5.75832137e-03 3.51080544e-03
 3.25125122e-01 1.05651148e-02 3.16547433e-03 5.75641675e-03
 2.45468950e-02 3.21549166e-03 3.76523145e-11]",1234
39,W40_41,42,38,167806,169104,"[9.62160342e-02 4.22417990e-02 1.07213789e-01 9.43792332e-02
 9.22656036e-02 4.22636530e-02 1.82265159e-02 1.85328677e-01
 7.41645422e-02 7.42318600e-03 2.47917486e-03 2.82340472e-03
 1.89432595e-01 1.10070607e-02 2.65099871e-03 2.63586976e-03
 2.34994190e-02 5.74844256e-03 1.33921090e-09]",1234
40,W41_42,13,45,169104,171308,"[5.72618771e-02 3.45832185e-02 2.25813470e-01 6.07073659e-02
 7.54750004e-02 3.63521346e-02 2.79387062e-02 7.48527742e-02
 4.86853810e-02 7.83333079e-03 9.02562950e-03 1.34128909e-03
 2.84697664e-01 1.08335694e-02 6.73449986e-03 4.66562339e-13
 3.27595080e-02 5.10458096e-03 0.00000000e+00]",1234
41,W42_43,30,9,171308,103454,"[0.07939046 0.02111229 0.18380662 0.07925089 0.10072294 0.02555916
 0.10094016 0.06974532 0.07573337 0.01007418 0.01470876 0.0002159
 0.18904391 0.01240521 0.0005351  0.0047182  0.03148188 0.00055566
 0.        ]",1234
42,W43_44,7,14,103454,77461,"[7.59419258e-02 2.28725859e-02 2.04007890e-01 7.01351031e-02
 6.57046022e-02 2.96537117e-02 8.18747480e-03 9.34360784e-02
 5.59721993e-02 3.18782031e-03 9.54160931e-08 1.30709982e-04
 3.31024995e-01 3.24688074e-03 2.17029506e-07 2.79762811e-10
 3.64977103e-02 0.00000000e+00 0.00000000e+00]",1234
43,W44_45,5,27,77461,186947,"[9.96204387e-02 2.38020380e-02 1.30370600e-01 4.76511495e-02
 7.95260013e-02 3.07307312e-02 1.43721378e-03 1.27712217e-01
 4.08208054e-02 5.18325218e-02 1.20613736e-05 8.72865077e-07
 3.40399335e-01 1.85159663e-02 4.22444266e-04 2.56744642e-08
 7.06337014e-03 8.22014439e-05 6.64086116e-09]",1234
44,W45_46,9,24,186947,187811,"[5.40168492e-02 3.96307001e-02 1.68058504e-01 5.59192210e-02
 5.20752180e-02 3.30352056e-02 2.62741971e-02 8.02705708e-02
 4.80207310e-02 3.97657954e-02 1.88371365e-06 7.55765145e-07
 3.55063279e-01 3.73808839e-03 7.10831629e-08 2.07141076e-02
 1.10494897e-02 1.23653311e-02 1.46551443e-09]",1234
45,W46_47,16,29,187811,195101,"[7.31231000e-02 2.65176570e-02 1.42460614e-01 6.57973767e-02
 7.65852653e-02 5.59146196e-02 3.27451321e-02 1.26104493e-01
 4.90562037e-02 1.88102881e-02 5.56315917e-03 1.08690283e-05
 2.88298122e-01 9.23167729e-03 8.08725888e-07 1.43763414e-02
 1.01888190e-02 5.21545352e-03 0.00000000e+00]",1234
46,W47_48,23,37,195101,199277,"[6.85209512e-02 3.85688239e-02 1.30178170e-01 7.51484852e-02
 8.93940779e-02 3.93278919e-02 2.49651820e-02 1.01841204e-01
 6.41645449e-02 4.18696949e-02 2.41484656e-03 2.04756195e-05
 2.85578253e-01 6.87532844e-03 7.37060374e-05 2.44149357e-03
 2.44771474e-02 4.13972297e-03 4.20380635e-11]",1234
47,W48_49,21,33,199277,202048,"[0.0595883  0.04281568 0.11813209 0.05931808 0.07060262 0.04547807
 0.00938335 0.10195263 0.07528381 0.07147696 0.00042852 0.00064985
 0.30661109 0.00524869 0.0004109  0.         0.0127603  0.01985905
 0.        ]",1234
48,W49_50,17,32,202048,210141,"[4.68409595e-02 3.77503246e-02 1.48358473e-01 7.00315961e-02
 8.10702662e-02 3.44644635e-02 1.77363484e-02 9.16801552e-02
 5.63416484e-02 4.49305155e-02 1.75465964e-03 4.36406670e-03
 3.23941514e-01 6.10816729e-03 2.61548031e-03 3.20018318e-04
 2.40010980e-02 7.69024460e-03 0.00000000e+00]",1234
